micro_zone,distributionType,n,scenario,dc
3341,MOTORIZED,23,2-MUC: Nur Transporter,14
3342,MOTORIZED,3,2-MUC: Nur Transporter,14
3343,MOTORIZED,23,2-MUC: Nur Transporter,14
3344,MOTORIZED,10,2-MUC: Nur Transporter,14
3345,MOTORIZED,13,2-MUC: Nur Transporter,14
3346,MOTORIZED,11,2-MUC: Nur Transporter,14
3347,MOTORIZED,13,2-MUC: Nur Transporter,14
3348,MOTORIZED,15,2-MUC: Nur Transporter,14
3349,MOTORIZED,28,2-MUC: Nur Transporter,14
3350,MOTORIZED,11,2-MUC: Nur Transporter,14
3351,MOTORIZED,21,2-MUC: Nur Transporter,14
3352,MOTORIZED,18,2-MUC: Nur Transporter,14
3353,MOTORIZED,5,2-MUC: Nur Transporter,14
3354,MOTORIZED,21,2-MUC: Nur Transporter,14
3355,MOTORIZED,13,2-MUC: Nur Transporter,14
3356,MOTORIZED,3,2-MUC: Nur Transporter,14
3357,MOTORIZED,12,2-MUC: Nur Transporter,14
3358,MOTORIZED,13,2-MUC: Nur Transporter,14
3359,MOTORIZED,20,2-MUC: Nur Transporter,14
3360,MOTORIZED,10,2-MUC: Nur Transporter,14
3361,MOTORIZED,7,2-MUC: Nur Transporter,14
3362,MOTORIZED,9,2-MUC: Nur Transporter,14
3363,MOTORIZED,10,2-MUC: Nur Transporter,14
3364,MOTORIZED,11,2-MUC: Nur Transporter,14
3365,MOTORIZED,14,2-MUC: Nur Transporter,14
3366,MOTORIZED,3,2-MUC: Nur Transporter,14
3367,MOTORIZED,14,2-MUC: Nur Transporter,14
3368,MOTORIZED,28,2-MUC: Nur Transporter,14
3369,MOTORIZED,12,2-MUC: Nur Transporter,14
3370,MOTORIZED,27,2-MUC: Nur Transporter,14
3371,MOTORIZED,22,2-MUC: Nur Transporter,14
3372,MOTORIZED,12,2-MUC: Nur Transporter,14
3373,MOTORIZED,8,2-MUC: Nur Transporter,14
3374,MOTORIZED,12,2-MUC: Nur Transporter,14
3375,MOTORIZED,10,2-MUC: Nur Transporter,14
3376,MOTORIZED,37,2-MUC: Nur Transporter,14
3377,MOTORIZED,18,2-MUC: Nur Transporter,14
3378,MOTORIZED,14,2-MUC: Nur Transporter,14
3379,MOTORIZED,11,2-MUC: Nur Transporter,14
3380,MOTORIZED,12,2-MUC: Nur Transporter,14
3381,MOTORIZED,9,2-MUC: Nur Transporter,14
3382,MOTORIZED,14,2-MUC: Nur Transporter,14
3383,MOTORIZED,11,2-MUC: Nur Transporter,14
3384,MOTORIZED,6,2-MUC: Nur Transporter,14
3385,MOTORIZED,6,2-MUC: Nur Transporter,14
3386,MOTORIZED,5,2-MUC: Nur Transporter,14
3387,MOTORIZED,9,2-MUC: Nur Transporter,14
3388,MOTORIZED,16,2-MUC: Nur Transporter,14
3389,MOTORIZED,12,2-MUC: Nur Transporter,14
3390,MOTORIZED,14,2-MUC: Nur Transporter,14
3391,MOTORIZED,4,2-MUC: Nur Transporter,14
3392,MOTORIZED,9,2-MUC: Nur Transporter,14
3393,MOTORIZED,5,2-MUC: Nur Transporter,14
3394,MOTORIZED,11,2-MUC: Nur Transporter,14
3395,MOTORIZED,14,2-MUC: Nur Transporter,14
3396,MOTORIZED,6,2-MUC: Nur Transporter,14
3397,MOTORIZED,18,2-MUC: Nur Transporter,14
3398,MOTORIZED,16,2-MUC: Nur Transporter,14
3399,MOTORIZED,21,2-MUC: Nur Transporter,14
3400,MOTORIZED,7,2-MUC: Nur Transporter,14
3401,MOTORIZED,8,2-MUC: Nur Transporter,14
3402,MOTORIZED,8,2-MUC: Nur Transporter,14
3403,MOTORIZED,15,2-MUC: Nur Transporter,14
3404,MOTORIZED,24,2-MUC: Nur Transporter,14
3405,MOTORIZED,16,2-MUC: Nur Transporter,14
3407,MOTORIZED,22,2-MUC: Nur Transporter,14
3408,MOTORIZED,7,2-MUC: Nur Transporter,14
3409,MOTORIZED,10,2-MUC: Nur Transporter,14
3410,MOTORIZED,17,2-MUC: Nur Transporter,14
3411,MOTORIZED,6,2-MUC: Nur Transporter,14
3412,MOTORIZED,19,2-MUC: Nur Transporter,14
3413,MOTORIZED,3,2-MUC: Nur Transporter,14
3414,MOTORIZED,15,2-MUC: Nur Transporter,14
3415,MOTORIZED,17,2-MUC: Nur Transporter,14
3416,MOTORIZED,16,2-MUC: Nur Transporter,14
3417,MOTORIZED,15,2-MUC: Nur Transporter,14
3418,MOTORIZED,25,2-MUC: Nur Transporter,14
3419,MOTORIZED,9,2-MUC: Nur Transporter,14
3420,MOTORIZED,15,2-MUC: Nur Transporter,14
3421,MOTORIZED,23,2-MUC: Nur Transporter,14
3422,MOTORIZED,22,2-MUC: Nur Transporter,14
3423,MOTORIZED,28,2-MUC: Nur Transporter,14
3424,MOTORIZED,19,2-MUC: Nur Transporter,14
3425,MOTORIZED,23,2-MUC: Nur Transporter,14
3426,MOTORIZED,12,2-MUC: Nur Transporter,14
3427,MOTORIZED,35,2-MUC: Nur Transporter,14
3428,MOTORIZED,36,2-MUC: Nur Transporter,14
3429,MOTORIZED,15,2-MUC: Nur Transporter,14
3430,MOTORIZED,35,2-MUC: Nur Transporter,14
3431,MOTORIZED,5,2-MUC: Nur Transporter,14
3432,MOTORIZED,16,2-MUC: Nur Transporter,14
3433,MOTORIZED,5,2-MUC: Nur Transporter,14
3434,MOTORIZED,19,2-MUC: Nur Transporter,14
3435,MOTORIZED,17,2-MUC: Nur Transporter,14
3436,MOTORIZED,45,2-MUC: Nur Transporter,14
3437,MOTORIZED,30,2-MUC: Nur Transporter,14
3438,MOTORIZED,15,2-MUC: Nur Transporter,14
3439,MOTORIZED,18,2-MUC: Nur Transporter,14
3440,MOTORIZED,8,2-MUC: Nur Transporter,14
3441,MOTORIZED,29,2-MUC: Nur Transporter,14
3442,MOTORIZED,28,2-MUC: Nur Transporter,14
3443,MOTORIZED,7,2-MUC: Nur Transporter,14
3444,MOTORIZED,6,2-MUC: Nur Transporter,14
3445,MOTORIZED,21,2-MUC: Nur Transporter,14
3446,MOTORIZED,25,2-MUC: Nur Transporter,14
3447,MOTORIZED,3,2-MUC: Nur Transporter,14
3448,MOTORIZED,9,2-MUC: Nur Transporter,14
3449,MOTORIZED,3,2-MUC: Nur Transporter,14
3450,MOTORIZED,12,2-MUC: Nur Transporter,14
3451,MOTORIZED,29,2-MUC: Nur Transporter,14
3452,MOTORIZED,13,2-MUC: Nur Transporter,14
3453,MOTORIZED,14,2-MUC: Nur Transporter,14
3454,MOTORIZED,28,2-MUC: Nur Transporter,14
3455,MOTORIZED,2,2-MUC: Nur Transporter,14
3456,MOTORIZED,14,2-MUC: Nur Transporter,14
3457,MOTORIZED,18,2-MUC: Nur Transporter,14
3458,MOTORIZED,29,2-MUC: Nur Transporter,14
3459,MOTORIZED,45,2-MUC: Nur Transporter,14
3460,MOTORIZED,4,2-MUC: Nur Transporter,14
3461,MOTORIZED,16,2-MUC: Nur Transporter,14
3462,MOTORIZED,4,2-MUC: Nur Transporter,14
3463,MOTORIZED,11,2-MUC: Nur Transporter,14
3464,MOTORIZED,20,2-MUC: Nur Transporter,14
3465,MOTORIZED,7,2-MUC: Nur Transporter,14
3466,MOTORIZED,22,2-MUC: Nur Transporter,14
3467,MOTORIZED,36,2-MUC: Nur Transporter,14
3468,MOTORIZED,10,2-MUC: Nur Transporter,14
3469,MOTORIZED,24,2-MUC: Nur Transporter,14
3470,MOTORIZED,28,2-MUC: Nur Transporter,14
3471,MOTORIZED,12,2-MUC: Nur Transporter,14
3472,MOTORIZED,23,2-MUC: Nur Transporter,14
3473,MOTORIZED,10,2-MUC: Nur Transporter,14
3474,MOTORIZED,25,2-MUC: Nur Transporter,14
3475,MOTORIZED,30,2-MUC: Nur Transporter,14
3476,MOTORIZED,12,2-MUC: Nur Transporter,14
3477,MOTORIZED,15,2-MUC: Nur Transporter,14
3478,MOTORIZED,11,2-MUC: Nur Transporter,14
3479,MOTORIZED,14,2-MUC: Nur Transporter,14
3480,MOTORIZED,9,2-MUC: Nur Transporter,14
3481,MOTORIZED,19,2-MUC: Nur Transporter,14
3482,MOTORIZED,15,2-MUC: Nur Transporter,14
3483,MOTORIZED,29,2-MUC: Nur Transporter,14
3484,MOTORIZED,11,2-MUC: Nur Transporter,14
3485,MOTORIZED,14,2-MUC: Nur Transporter,14
3486,MOTORIZED,7,2-MUC: Nur Transporter,14
3487,MOTORIZED,19,2-MUC: Nur Transporter,14
3488,MOTORIZED,28,2-MUC: Nur Transporter,14
3489,MOTORIZED,34,2-MUC: Nur Transporter,14
3490,MOTORIZED,59,2-MUC: Nur Transporter,14
3491,MOTORIZED,25,2-MUC: Nur Transporter,14
3492,MOTORIZED,19,2-MUC: Nur Transporter,14
3493,MOTORIZED,16,2-MUC: Nur Transporter,14
3494,MOTORIZED,22,2-MUC: Nur Transporter,14
3495,MOTORIZED,12,2-MUC: Nur Transporter,14
3496,MOTORIZED,48,2-MUC: Nur Transporter,14
3497,MOTORIZED,59,2-MUC: Nur Transporter,14
3498,MOTORIZED,24,2-MUC: Nur Transporter,14
3499,MOTORIZED,41,2-MUC: Nur Transporter,14
3500,MOTORIZED,21,2-MUC: Nur Transporter,14
3501,MOTORIZED,38,2-MUC: Nur Transporter,14
3502,MOTORIZED,36,2-MUC: Nur Transporter,14
3503,MOTORIZED,43,2-MUC: Nur Transporter,14
3504,MOTORIZED,46,2-MUC: Nur Transporter,14
3505,MOTORIZED,44,2-MUC: Nur Transporter,14
3506,MOTORIZED,48,2-MUC: Nur Transporter,14
3507,MOTORIZED,49,2-MUC: Nur Transporter,14
3508,MOTORIZED,31,2-MUC: Nur Transporter,14
3509,MOTORIZED,56,2-MUC: Nur Transporter,14
3510,MOTORIZED,65,2-MUC: Nur Transporter,14
3511,MOTORIZED,42,2-MUC: Nur Transporter,14
3512,MOTORIZED,40,2-MUC: Nur Transporter,14
3513,MOTORIZED,32,2-MUC: Nur Transporter,14
3514,MOTORIZED,21,2-MUC: Nur Transporter,14
3515,MOTORIZED,6,2-MUC: Nur Transporter,14
3516,MOTORIZED,3,2-MUC: Nur Transporter,14
3517,MOTORIZED,5,2-MUC: Nur Transporter,14
3518,MOTORIZED,11,2-MUC: Nur Transporter,14
3519,MOTORIZED,11,2-MUC: Nur Transporter,14
3521,MOTORIZED,23,2-MUC: Nur Transporter,14
3522,MOTORIZED,19,2-MUC: Nur Transporter,14
3523,MOTORIZED,1,2-MUC: Nur Transporter,14
3524,MOTORIZED,15,2-MUC: Nur Transporter,14
3526,MOTORIZED,10,2-MUC: Nur Transporter,14
3527,MOTORIZED,14,2-MUC: Nur Transporter,14
3528,MOTORIZED,10,2-MUC: Nur Transporter,14
3529,MOTORIZED,8,2-MUC: Nur Transporter,14
3530,MOTORIZED,17,2-MUC: Nur Transporter,14
3531,MOTORIZED,14,2-MUC: Nur Transporter,14
3532,MOTORIZED,6,2-MUC: Nur Transporter,14
3533,MOTORIZED,15,2-MUC: Nur Transporter,14
3534,MOTORIZED,14,2-MUC: Nur Transporter,14
3535,MOTORIZED,6,2-MUC: Nur Transporter,14
3536,MOTORIZED,11,2-MUC: Nur Transporter,14
3537,MOTORIZED,16,2-MUC: Nur Transporter,14
3538,MOTORIZED,15,2-MUC: Nur Transporter,14
3539,MOTORIZED,11,2-MUC: Nur Transporter,14
3540,MOTORIZED,6,2-MUC: Nur Transporter,14
3541,MOTORIZED,24,2-MUC: Nur Transporter,14
3542,MOTORIZED,15,2-MUC: Nur Transporter,14
3543,MOTORIZED,18,2-MUC: Nur Transporter,14
3544,MOTORIZED,21,2-MUC: Nur Transporter,14
3545,MOTORIZED,16,2-MUC: Nur Transporter,14
3546,MOTORIZED,12,2-MUC: Nur Transporter,14
3547,MOTORIZED,26,2-MUC: Nur Transporter,14
3548,MOTORIZED,15,2-MUC: Nur Transporter,14
3549,MOTORIZED,16,2-MUC: Nur Transporter,14
3550,MOTORIZED,19,2-MUC: Nur Transporter,14
3551,MOTORIZED,39,2-MUC: Nur Transporter,14
3552,MOTORIZED,28,2-MUC: Nur Transporter,14
3553,MOTORIZED,44,2-MUC: Nur Transporter,14
3554,MOTORIZED,8,2-MUC: Nur Transporter,14
3555,MOTORIZED,19,2-MUC: Nur Transporter,14
3556,MOTORIZED,30,2-MUC: Nur Transporter,14
3557,MOTORIZED,23,2-MUC: Nur Transporter,14
3558,MOTORIZED,17,2-MUC: Nur Transporter,14
3559,MOTORIZED,11,2-MUC: Nur Transporter,14
3560,MOTORIZED,27,2-MUC: Nur Transporter,14
3561,MOTORIZED,11,2-MUC: Nur Transporter,14
3562,MOTORIZED,12,2-MUC: Nur Transporter,14
3563,MOTORIZED,7,2-MUC: Nur Transporter,14
3564,MOTORIZED,10,2-MUC: Nur Transporter,14
3565,MOTORIZED,11,2-MUC: Nur Transporter,14
3566,MOTORIZED,15,2-MUC: Nur Transporter,14
3567,MOTORIZED,21,2-MUC: Nur Transporter,14
3568,MOTORIZED,31,2-MUC: Nur Transporter,14
3569,MOTORIZED,16,2-MUC: Nur Transporter,14
3570,MOTORIZED,32,2-MUC: Nur Transporter,14
3571,MOTORIZED,24,2-MUC: Nur Transporter,14
3572,MOTORIZED,26,2-MUC: Nur Transporter,14
3573,MOTORIZED,20,2-MUC: Nur Transporter,14
3574,MOTORIZED,9,2-MUC: Nur Transporter,14
3575,MOTORIZED,18,2-MUC: Nur Transporter,14
3576,MOTORIZED,20,2-MUC: Nur Transporter,14
3577,MOTORIZED,13,2-MUC: Nur Transporter,14
3578,MOTORIZED,16,2-MUC: Nur Transporter,14
3579,MOTORIZED,9,2-MUC: Nur Transporter,14
3580,MOTORIZED,3,2-MUC: Nur Transporter,14
3581,MOTORIZED,12,2-MUC: Nur Transporter,14
3582,MOTORIZED,7,2-MUC: Nur Transporter,14
3583,MOTORIZED,42,2-MUC: Nur Transporter,14
3584,MOTORIZED,8,2-MUC: Nur Transporter,14
3585,MOTORIZED,8,2-MUC: Nur Transporter,14
3586,MOTORIZED,22,2-MUC: Nur Transporter,14
3587,MOTORIZED,4,2-MUC: Nur Transporter,14
3588,MOTORIZED,13,2-MUC: Nur Transporter,14
3589,MOTORIZED,15,2-MUC: Nur Transporter,14
3590,MOTORIZED,21,2-MUC: Nur Transporter,14
3591,MOTORIZED,1,2-MUC: Nur Transporter,14
3592,MOTORIZED,13,2-MUC: Nur Transporter,14
3593,MOTORIZED,6,2-MUC: Nur Transporter,14
3594,MOTORIZED,5,2-MUC: Nur Transporter,14
3595,MOTORIZED,11,2-MUC: Nur Transporter,14
3596,MOTORIZED,25,2-MUC: Nur Transporter,14
3597,MOTORIZED,14,2-MUC: Nur Transporter,14
3598,MOTORIZED,53,2-MUC: Nur Transporter,14
3599,MOTORIZED,39,2-MUC: Nur Transporter,14
3600,MOTORIZED,25,2-MUC: Nur Transporter,14
3601,MOTORIZED,21,2-MUC: Nur Transporter,14
3602,MOTORIZED,20,2-MUC: Nur Transporter,14
3603,MOTORIZED,1,2-MUC: Nur Transporter,14
3604,MOTORIZED,24,2-MUC: Nur Transporter,14
3605,MOTORIZED,4,2-MUC: Nur Transporter,14
3606,MOTORIZED,10,2-MUC: Nur Transporter,14
3607,MOTORIZED,6,2-MUC: Nur Transporter,14
3608,MOTORIZED,5,2-MUC: Nur Transporter,14
3609,MOTORIZED,17,2-MUC: Nur Transporter,14
3610,MOTORIZED,7,2-MUC: Nur Transporter,14
3611,MOTORIZED,25,2-MUC: Nur Transporter,14
3612,MOTORIZED,39,2-MUC: Nur Transporter,14
3613,MOTORIZED,53,2-MUC: Nur Transporter,14
3614,MOTORIZED,17,2-MUC: Nur Transporter,14
3615,MOTORIZED,21,2-MUC: Nur Transporter,14
3616,MOTORIZED,16,2-MUC: Nur Transporter,14
3617,MOTORIZED,25,2-MUC: Nur Transporter,14
3618,MOTORIZED,17,2-MUC: Nur Transporter,14
3619,MOTORIZED,10,2-MUC: Nur Transporter,14
3620,MOTORIZED,18,2-MUC: Nur Transporter,14
3621,MOTORIZED,11,2-MUC: Nur Transporter,14
3622,MOTORIZED,12,2-MUC: Nur Transporter,14
3623,MOTORIZED,14,2-MUC: Nur Transporter,14
3624,MOTORIZED,5,2-MUC: Nur Transporter,14
3625,MOTORIZED,9,2-MUC: Nur Transporter,14
3626,MOTORIZED,12,2-MUC: Nur Transporter,14
3627,MOTORIZED,10,2-MUC: Nur Transporter,14
3628,MOTORIZED,30,2-MUC: Nur Transporter,14
3629,MOTORIZED,5,2-MUC: Nur Transporter,14
3630,MOTORIZED,22,2-MUC: Nur Transporter,14
3631,MOTORIZED,13,2-MUC: Nur Transporter,14
3632,MOTORIZED,24,2-MUC: Nur Transporter,14
3633,MOTORIZED,4,2-MUC: Nur Transporter,14
3634,MOTORIZED,10,2-MUC: Nur Transporter,14
3635,MOTORIZED,14,2-MUC: Nur Transporter,14
3636,MOTORIZED,28,2-MUC: Nur Transporter,14
3637,MOTORIZED,26,2-MUC: Nur Transporter,14
3638,MOTORIZED,30,2-MUC: Nur Transporter,14
3639,MOTORIZED,11,2-MUC: Nur Transporter,14
3640,MOTORIZED,5,2-MUC: Nur Transporter,14
3641,MOTORIZED,18,2-MUC: Nur Transporter,14
3642,MOTORIZED,17,2-MUC: Nur Transporter,14
3643,MOTORIZED,15,2-MUC: Nur Transporter,14
3644,MOTORIZED,11,2-MUC: Nur Transporter,14
3645,MOTORIZED,18,2-MUC: Nur Transporter,14
3646,MOTORIZED,4,2-MUC: Nur Transporter,14
3647,MOTORIZED,8,2-MUC: Nur Transporter,14
3648,MOTORIZED,23,2-MUC: Nur Transporter,14
3649,MOTORIZED,7,2-MUC: Nur Transporter,14
3650,MOTORIZED,6,2-MUC: Nur Transporter,14
3651,MOTORIZED,6,2-MUC: Nur Transporter,14
3652,MOTORIZED,8,2-MUC: Nur Transporter,14
3653,MOTORIZED,5,2-MUC: Nur Transporter,14
3654,MOTORIZED,19,2-MUC: Nur Transporter,14
3655,MOTORIZED,19,2-MUC: Nur Transporter,14
3656,MOTORIZED,10,2-MUC: Nur Transporter,14
3657,MOTORIZED,2,2-MUC: Nur Transporter,14
3658,MOTORIZED,19,2-MUC: Nur Transporter,14
3659,MOTORIZED,12,2-MUC: Nur Transporter,14
3660,MOTORIZED,17,2-MUC: Nur Transporter,14
3661,MOTORIZED,20,2-MUC: Nur Transporter,14
3662,MOTORIZED,17,2-MUC: Nur Transporter,14
3663,MOTORIZED,21,2-MUC: Nur Transporter,14
3664,MOTORIZED,36,2-MUC: Nur Transporter,14
3665,MOTORIZED,23,2-MUC: Nur Transporter,14
3666,MOTORIZED,7,2-MUC: Nur Transporter,14
3667,MOTORIZED,2,2-MUC: Nur Transporter,14
3668,MOTORIZED,9,2-MUC: Nur Transporter,14
3669,MOTORIZED,28,2-MUC: Nur Transporter,14
3670,MOTORIZED,28,2-MUC: Nur Transporter,14
3671,MOTORIZED,11,2-MUC: Nur Transporter,14
3672,MOTORIZED,20,2-MUC: Nur Transporter,14
3673,MOTORIZED,9,2-MUC: Nur Transporter,14
3674,MOTORIZED,13,2-MUC: Nur Transporter,14
3675,MOTORIZED,9,2-MUC: Nur Transporter,14
3676,MOTORIZED,14,2-MUC: Nur Transporter,14
3677,MOTORIZED,5,2-MUC: Nur Transporter,14
3678,MOTORIZED,19,2-MUC: Nur Transporter,14
3679,MOTORIZED,17,2-MUC: Nur Transporter,14
3680,MOTORIZED,20,2-MUC: Nur Transporter,14
3681,MOTORIZED,16,2-MUC: Nur Transporter,14
3682,MOTORIZED,19,2-MUC: Nur Transporter,14
3683,MOTORIZED,7,2-MUC: Nur Transporter,14
3684,MOTORIZED,25,2-MUC: Nur Transporter,14
3685,MOTORIZED,16,2-MUC: Nur Transporter,14
3686,MOTORIZED,15,2-MUC: Nur Transporter,14
3687,MOTORIZED,21,2-MUC: Nur Transporter,14
3688,MOTORIZED,18,2-MUC: Nur Transporter,14
3689,MOTORIZED,18,2-MUC: Nur Transporter,14
3690,MOTORIZED,11,2-MUC: Nur Transporter,14
3691,MOTORIZED,3,2-MUC: Nur Transporter,14
3692,MOTORIZED,27,2-MUC: Nur Transporter,14
3693,MOTORIZED,7,2-MUC: Nur Transporter,14
3694,MOTORIZED,18,2-MUC: Nur Transporter,14
3695,MOTORIZED,15,2-MUC: Nur Transporter,14
3696,MOTORIZED,25,2-MUC: Nur Transporter,14
3697,MOTORIZED,5,2-MUC: Nur Transporter,14
3698,MOTORIZED,14,2-MUC: Nur Transporter,14
3699,MOTORIZED,10,2-MUC: Nur Transporter,14
3700,MOTORIZED,16,2-MUC: Nur Transporter,14
3701,MOTORIZED,20,2-MUC: Nur Transporter,14
3702,MOTORIZED,1,2-MUC: Nur Transporter,14
3703,MOTORIZED,12,2-MUC: Nur Transporter,14
3704,MOTORIZED,14,2-MUC: Nur Transporter,14
3705,MOTORIZED,26,2-MUC: Nur Transporter,14
3706,MOTORIZED,13,2-MUC: Nur Transporter,14
3707,MOTORIZED,14,2-MUC: Nur Transporter,14
3708,MOTORIZED,7,2-MUC: Nur Transporter,14
3709,MOTORIZED,12,2-MUC: Nur Transporter,14
3710,MOTORIZED,18,2-MUC: Nur Transporter,14
3711,MOTORIZED,31,2-MUC: Nur Transporter,14
3712,MOTORIZED,18,2-MUC: Nur Transporter,14
3713,MOTORIZED,26,2-MUC: Nur Transporter,14
3714,MOTORIZED,24,2-MUC: Nur Transporter,14
3715,MOTORIZED,19,2-MUC: Nur Transporter,14
3716,MOTORIZED,10,2-MUC: Nur Transporter,14
3717,MOTORIZED,11,2-MUC: Nur Transporter,14
3719,MOTORIZED,21,2-MUC: Nur Transporter,14
3720,MOTORIZED,12,2-MUC: Nur Transporter,14
3721,MOTORIZED,17,2-MUC: Nur Transporter,14
3722,MOTORIZED,3,2-MUC: Nur Transporter,14
3723,MOTORIZED,25,2-MUC: Nur Transporter,14
3724,MOTORIZED,31,2-MUC: Nur Transporter,14
3725,MOTORIZED,39,2-MUC: Nur Transporter,14
3726,MOTORIZED,58,2-MUC: Nur Transporter,14
3727,MOTORIZED,32,2-MUC: Nur Transporter,14
3728,MOTORIZED,55,2-MUC: Nur Transporter,14
3729,MOTORIZED,26,2-MUC: Nur Transporter,14
3730,MOTORIZED,67,2-MUC: Nur Transporter,14
3731,MOTORIZED,9,2-MUC: Nur Transporter,14
3732,MOTORIZED,10,2-MUC: Nur Transporter,14
3733,MOTORIZED,6,2-MUC: Nur Transporter,14
3734,MOTORIZED,7,2-MUC: Nur Transporter,14
3735,MOTORIZED,36,2-MUC: Nur Transporter,14
3736,MOTORIZED,28,2-MUC: Nur Transporter,14
3738,MOTORIZED,6,2-MUC: Nur Transporter,14
3739,MOTORIZED,1,2-MUC: Nur Transporter,14
3740,MOTORIZED,26,2-MUC: Nur Transporter,14
3741,MOTORIZED,22,2-MUC: Nur Transporter,14
3742,MOTORIZED,19,2-MUC: Nur Transporter,14
3743,MOTORIZED,30,2-MUC: Nur Transporter,14
3744,MOTORIZED,9,2-MUC: Nur Transporter,14
3745,MOTORIZED,18,2-MUC: Nur Transporter,14
3746,MOTORIZED,9,2-MUC: Nur Transporter,14
3747,MOTORIZED,23,2-MUC: Nur Transporter,14
3748,MOTORIZED,15,2-MUC: Nur Transporter,14
3749,MOTORIZED,18,2-MUC: Nur Transporter,14
3750,MOTORIZED,7,2-MUC: Nur Transporter,14
3751,MOTORIZED,11,2-MUC: Nur Transporter,14
3752,MOTORIZED,6,2-MUC: Nur Transporter,14
3753,MOTORIZED,24,2-MUC: Nur Transporter,14
3754,MOTORIZED,18,2-MUC: Nur Transporter,14
3755,MOTORIZED,13,2-MUC: Nur Transporter,14
3757,MOTORIZED,23,2-MUC: Nur Transporter,14
3758,MOTORIZED,24,2-MUC: Nur Transporter,14
3759,MOTORIZED,8,2-MUC: Nur Transporter,14
3760,MOTORIZED,22,2-MUC: Nur Transporter,14
3762,MOTORIZED,11,2-MUC: Nur Transporter,14
3763,MOTORIZED,15,2-MUC: Nur Transporter,14
3764,MOTORIZED,7,2-MUC: Nur Transporter,14
3765,MOTORIZED,14,2-MUC: Nur Transporter,14
3766,MOTORIZED,7,2-MUC: Nur Transporter,14
3767,MOTORIZED,5,2-MUC: Nur Transporter,14
3768,MOTORIZED,4,2-MUC: Nur Transporter,14
3769,MOTORIZED,14,2-MUC: Nur Transporter,14
3770,MOTORIZED,14,2-MUC: Nur Transporter,14
3771,MOTORIZED,27,2-MUC: Nur Transporter,14
3772,MOTORIZED,33,2-MUC: Nur Transporter,14
3773,MOTORIZED,55,2-MUC: Nur Transporter,14
3774,MOTORIZED,39,2-MUC: Nur Transporter,14
3775,MOTORIZED,10,2-MUC: Nur Transporter,14
3776,MOTORIZED,6,2-MUC: Nur Transporter,14
3777,MOTORIZED,16,2-MUC: Nur Transporter,14
3778,MOTORIZED,4,2-MUC: Nur Transporter,14
3779,MOTORIZED,8,2-MUC: Nur Transporter,14
3780,MOTORIZED,13,2-MUC: Nur Transporter,14
3781,MOTORIZED,46,2-MUC: Nur Transporter,14
3782,MOTORIZED,15,2-MUC: Nur Transporter,14
3783,MOTORIZED,35,2-MUC: Nur Transporter,14
3784,MOTORIZED,10,2-MUC: Nur Transporter,14
3785,MOTORIZED,17,2-MUC: Nur Transporter,14
3786,MOTORIZED,21,2-MUC: Nur Transporter,14
3787,MOTORIZED,18,2-MUC: Nur Transporter,14
3788,MOTORIZED,9,2-MUC: Nur Transporter,14
3789,MOTORIZED,18,2-MUC: Nur Transporter,14
3790,MOTORIZED,9,2-MUC: Nur Transporter,14
3791,MOTORIZED,12,2-MUC: Nur Transporter,14
3798,MOTORIZED,15,2-MUC: Nur Transporter,14
3799,MOTORIZED,1,2-MUC: Nur Transporter,14
3800,MOTORIZED,31,2-MUC: Nur Transporter,14
3801,MOTORIZED,15,2-MUC: Nur Transporter,14
3802,MOTORIZED,14,2-MUC: Nur Transporter,14
3803,MOTORIZED,12,2-MUC: Nur Transporter,14
3804,MOTORIZED,8,2-MUC: Nur Transporter,14
3805,MOTORIZED,14,2-MUC: Nur Transporter,14
3806,MOTORIZED,11,2-MUC: Nur Transporter,14
3807,MOTORIZED,9,2-MUC: Nur Transporter,14
3808,MOTORIZED,14,2-MUC: Nur Transporter,14
3809,MOTORIZED,6,2-MUC: Nur Transporter,14
3810,MOTORIZED,19,2-MUC: Nur Transporter,14
3811,MOTORIZED,24,2-MUC: Nur Transporter,14
3812,MOTORIZED,16,2-MUC: Nur Transporter,14
3813,MOTORIZED,76,2-MUC: Nur Transporter,14
3814,MOTORIZED,11,2-MUC: Nur Transporter,14
3815,MOTORIZED,8,2-MUC: Nur Transporter,14
3816,MOTORIZED,10,2-MUC: Nur Transporter,14
3817,MOTORIZED,27,2-MUC: Nur Transporter,14
3818,MOTORIZED,14,2-MUC: Nur Transporter,14
3819,MOTORIZED,13,2-MUC: Nur Transporter,14
3820,MOTORIZED,14,2-MUC: Nur Transporter,14
3821,MOTORIZED,2,2-MUC: Nur Transporter,14
3822,MOTORIZED,89,2-MUC: Nur Transporter,14
3823,MOTORIZED,49,2-MUC: Nur Transporter,14
3824,MOTORIZED,11,2-MUC: Nur Transporter,14
3825,MOTORIZED,9,2-MUC: Nur Transporter,14
3826,MOTORIZED,9,2-MUC: Nur Transporter,14
3827,MOTORIZED,22,2-MUC: Nur Transporter,14
3828,MOTORIZED,34,2-MUC: Nur Transporter,14
3829,MOTORIZED,2,2-MUC: Nur Transporter,14
3830,MOTORIZED,6,2-MUC: Nur Transporter,14
3831,MOTORIZED,7,2-MUC: Nur Transporter,14
3832,MOTORIZED,8,2-MUC: Nur Transporter,14
3833,MOTORIZED,21,2-MUC: Nur Transporter,14
3834,MOTORIZED,20,2-MUC: Nur Transporter,14
3835,MOTORIZED,18,2-MUC: Nur Transporter,14
