micro_zone,microDepotId,scenario,dc
4153,636,2-MUC: Nur Transporter,14
4154,636,2-MUC: Nur Transporter,14
4155,633,2-MUC: Nur Transporter,14
4156,633,2-MUC: Nur Transporter,14
4157,639,2-MUC: Nur Transporter,14
4158,675,2-MUC: Nur Transporter,14
4159,636,2-MUC: Nur Transporter,14
4160,672,2-MUC: Nur Transporter,14
4161,675,2-MUC: Nur Transporter,14
4162,702,2-MUC: Nur Transporter,14
4163,672,2-MUC: Nur Transporter,14
4164,699,2-MUC: Nur Transporter,14
4165,636,2-MUC: Nur Transporter,14
4166,672,2-MUC: Nur Transporter,14
4167,633,2-MUC: Nur Transporter,14
4168,669,2-MUC: Nur Transporter,14
4169,672,2-MUC: Nur Transporter,14
4170,699,2-MUC: Nur Transporter,14
4171,672,2-MUC: Nur Transporter,14
4172,672,2-MUC: Nur Transporter,14
4173,669,2-MUC: Nur Transporter,14
4174,669,2-MUC: Nur Transporter,14
4175,672,2-MUC: Nur Transporter,14
4176,699,2-MUC: Nur Transporter,14
4177,669,2-MUC: Nur Transporter,14
4178,696,2-MUC: Nur Transporter,14
4179,597,2-MUC: Nur Transporter,14
4180,597,2-MUC: Nur Transporter,14
4182,597,2-MUC: Nur Transporter,14
4183,633,2-MUC: Nur Transporter,14
4184,633,2-MUC: Nur Transporter,14
4185,633,2-MUC: Nur Transporter,14
4186,633,2-MUC: Nur Transporter,14
4187,633,2-MUC: Nur Transporter,14
4188,633,2-MUC: Nur Transporter,14
4189,633,2-MUC: Nur Transporter,14
4191,594,2-MUC: Nur Transporter,14
4192,594,2-MUC: Nur Transporter,14
4193,630,2-MUC: Nur Transporter,14
4194,630,2-MUC: Nur Transporter,14
4195,630,2-MUC: Nur Transporter,14
4196,630,2-MUC: Nur Transporter,14
4197,633,2-MUC: Nur Transporter,14
4198,633,2-MUC: Nur Transporter,14
4199,633,2-MUC: Nur Transporter,14
4200,633,2-MUC: Nur Transporter,14
4201,669,2-MUC: Nur Transporter,14
4202,633,2-MUC: Nur Transporter,14
4203,669,2-MUC: Nur Transporter,14
4204,669,2-MUC: Nur Transporter,14
4205,696,2-MUC: Nur Transporter,14
4206,669,2-MUC: Nur Transporter,14
4207,669,2-MUC: Nur Transporter,14
4208,669,2-MUC: Nur Transporter,14
4209,669,2-MUC: Nur Transporter,14
4210,669,2-MUC: Nur Transporter,14
4211,696,2-MUC: Nur Transporter,14
4212,669,2-MUC: Nur Transporter,14
4213,696,2-MUC: Nur Transporter,14
4214,630,2-MUC: Nur Transporter,14
4215,630,2-MUC: Nur Transporter,14
4216,630,2-MUC: Nur Transporter,14
4217,630,2-MUC: Nur Transporter,14
4218,666,2-MUC: Nur Transporter,14
4219,630,2-MUC: Nur Transporter,14
4220,663,2-MUC: Nur Transporter,14
4221,666,2-MUC: Nur Transporter,14
4222,666,2-MUC: Nur Transporter,14
4223,666,2-MUC: Nur Transporter,14
4224,666,2-MUC: Nur Transporter,14
4225,666,2-MUC: Nur Transporter,14
4226,693,2-MUC: Nur Transporter,14
4227,666,2-MUC: Nur Transporter,14
4228,693,2-MUC: Nur Transporter,14
4229,666,2-MUC: Nur Transporter,14
4230,693,2-MUC: Nur Transporter,14
4231,702,2-MUC: Nur Transporter,14
4232,702,2-MUC: Nur Transporter,14
4233,699,2-MUC: Nur Transporter,14
4234,699,2-MUC: Nur Transporter,14
4235,720,2-MUC: Nur Transporter,14
4236,720,2-MUC: Nur Transporter,14
4237,717,2-MUC: Nur Transporter,14
4238,717,2-MUC: Nur Transporter,14
4239,699,2-MUC: Nur Transporter,14
4240,699,2-MUC: Nur Transporter,14
4241,696,2-MUC: Nur Transporter,14
4242,696,2-MUC: Nur Transporter,14
4243,717,2-MUC: Nur Transporter,14
4244,717,2-MUC: Nur Transporter,14
4245,714,2-MUC: Nur Transporter,14
4246,714,2-MUC: Nur Transporter,14
4247,720,2-MUC: Nur Transporter,14
4249,732,2-MUC: Nur Transporter,14
4250,732,2-MUC: Nur Transporter,14
4251,732,2-MUC: Nur Transporter,14
4254,732,2-MUC: Nur Transporter,14
4255,732,2-MUC: Nur Transporter,14
4256,732,2-MUC: Nur Transporter,14
4257,729,2-MUC: Nur Transporter,14
4258,741,2-MUC: Nur Transporter,14
4259,696,2-MUC: Nur Transporter,14
4260,714,2-MUC: Nur Transporter,14
4261,693,2-MUC: Nur Transporter,14
4263,729,2-MUC: Nur Transporter,14
4264,630,2-MUC: Nur Transporter,14
4267,630,2-MUC: Nur Transporter,14
4268,663,2-MUC: Nur Transporter,14
4269,690,2-MUC: Nur Transporter,14
4270,690,2-MUC: Nur Transporter,14
4283,690,2-MUC: Nur Transporter,14
4284,690,2-MUC: Nur Transporter,14
4285,690,2-MUC: Nur Transporter,14
4286,690,2-MUC: Nur Transporter,14
4287,690,2-MUC: Nur Transporter,14
4357,741,2-MUC: Nur Transporter,14
4375,741,2-MUC: Nur Transporter,14
1409,45,2-MUC: Nur Transporter,14
1412,24,2-MUC: Nur Transporter,14
1413,42,2-MUC: Nur Transporter,14
1415,60,2-MUC: Nur Transporter,14
1416,60,2-MUC: Nur Transporter,14
1417,60,2-MUC: Nur Transporter,14
1432,141,2-MUC: Nur Transporter,14
1433,141,2-MUC: Nur Transporter,14
1435,141,2-MUC: Nur Transporter,14
1437,141,2-MUC: Nur Transporter,14
1438,186,2-MUC: Nur Transporter,14
1440,189,2-MUC: Nur Transporter,14
1442,186,2-MUC: Nur Transporter,14
1443,234,2-MUC: Nur Transporter,14
1444,333,2-MUC: Nur Transporter,14
1445,333,2-MUC: Nur Transporter,14
