toDestination,vehicle,customer_type,weight_kg,n,scenario,dc
Von Kunden gesendet,LKW der Fernverkehr,Gesamt,0,0,2-MUC: Nur Transporter,14
Von Kunden gesendet,Zulieferer - Paketshop,Direkt zu/von Kunden,0,0,2-MUC: Nur Transporter,14
Von Kunden gesendet,Zulieferer - Paketshop,In Paketshop,195734.49099856248,23965,2-MUC: Nur Transporter,14
Von Kunden gesendet,Zulieferer - Paketshop,Gesamt,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Transporter,Direkt zu/von Kunden,203198.67783366176,25384,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Transporter,In Paketshop,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Transporter,Gesamt,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Lastenrad,Direkt zu/von Kunden,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Lastenrad,In Paketshop,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Lastenrad,Gesamt,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,LKW der Fernverkehr,Direkt zu/von Kunden,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,LKW der Fernverkehr,In Paketshop,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,LKW der Fernverkehr,Gesamt,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Zulieferer - Paketshop,Direkt zu/von Kunden,0,0,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Zulieferer - Paketshop,In Paketshop,51743.31384540614,6374,2-MUC: Nur Transporter,14
Zu Kunden geliefert,Zulieferer - Paketshop,Gesamt,0,0,2-MUC: Nur Transporter,14
Von Kunden gesendet,Transporter,Direkt zu/von Kunden,48849.075330870095,5970,3-MUC: Optimiert,14
Von Kunden gesendet,Transporter,In Paketshop,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,Transporter,Gesamt,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,Lastenrad,Direkt zu/von Kunden,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,Lastenrad,In Paketshop,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,Lastenrad,Gesamt,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,LKW der Fernverkehr,Direkt zu/von Kunden,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,LKW der Fernverkehr,In Paketshop,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,LKW der Fernverkehr,Gesamt,0,0,3-MUC: Optimiert,14
Von Kunden gesendet,Zulieferer - Paketshop,Direkt zu/von Kunden,0,0,3-MUC: Optimiert,14
