"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","fakt1","fakt2","fakt3","service","handling","Speed","Truck","bike"
"2","1","1","10","1.0248","0.76","3.1097","70655.2949992757","27140.7049997857"
