dcId;dcName;xcoord;ycoord
DC13;UPS Depot Muenchen Ost / Kirchheim;11.76400667;48.15620695
DC14;DHL Zustellbasis in Unterschleissheim;11.59320682;48.26300634
DC16;DHL Zustellbasis in Muenchen Neuaubing MechZB;11.42090821;48.13800658
